Hommes  ;  18_20a  ;  21_25a  ;  26_30a  ;  31_40a  ;  41_50a  ;  51_60a  ;  61_65a  ;  plus65a
1962  ;  745  ;  1081  ;  1300  ;  1548  ;  1636  ;  1650  ;  1679  ;  1825
1963  ;  882  ;  1219  ;  1476  ;  1764  ;  1861  ;  1845  ;  2021  ;  2085
1964  ;  925  ;  1285  ;  1594  ;  1902  ;  2022  ;  1971  ;  1971  ;  2262
1965  ;  965  ;  1383  ;  1711  ;  1984  ;  2166  ;  2112  ;  2130  ;  2476
1966  ;  1006  ;  1471  ;  1819  ;  2128  ;  2322  ;  2225  ;  2283  ;  2670
1967  ;  1038  ;  1548  ;  1914  ;  2220  ;  2464  ;  2362  ;  2423  ;  2953
1968  ;  1138  ;  1651  ;  2097  ;  2431  ;  2721  ;  2588  ;  2632  ;  3212
1969  ;  1311  ;  1830  ;  2325  ;  2696  ;  3017  ;  2869  ;  2894  ;  3710
1970  ;  1437  ;  2006  ;  2575  ;  2982  ;  3280  ;  3145  ;  3117  ;  4012
1971  ;  1601  ;  2235  ;  2839  ;  3292  ;  3624  ;  3533  ;  3503  ;  4288
1972  ;  1698  ;  2397  ;  3097  ;  3663  ;  3996  ;  3962  ;  3829  ;  4828
1973  ;  1985  ;  2734  ;  3484  ;  4120  ;  4495  ;  4420  ;  4383  ;  5244
1974  ;  2238  ;  3159  ;  4037  ;  4870  ;  5265  ;  5265  ;  5134  ;  6318
1975  ;  2605  ;  3557  ;  4559  ;  5561  ;  5961  ;  6011  ;  6061  ;  6713
1976  ;  2836  ;  4116  ;  5210  ;  6403  ;  6854  ;  7025  ;  6998  ;  8276
1977  ;  3268  ;  4478  ;  5706  ;  7080  ;  7565  ;  7765  ;  7900  ;  9309
1978  ;  3432  ;  5008  ;  6308  ;  7852  ;  8478  ;  8746  ;  9033  ;  10989
1979  ;  3951  ;  5332  ;  6772  ;  8537  ;  9211  ;  9561  ;  10488  ;  11929
1980  ;  4111  ;  6033  ;  7603  ;  9634  ;  10444  ;  10857  ;  11846  ;  13444
1981  ;  4643  ;  6761  ;  8501  ;  10796  ;  11890  ;  12358  ;  13899  ;  15366
1982  ;  5271  ;  7612  ;  9551  ;  12156  ;  13610  ;  14142  ;  16418  ;  17661
1983  ;  5885  ;  8351  ;  10412  ;  13280  ;  15104  ;  15570  ;  18707  ;  20349
1984  ;  6347  ;  8899  ;  11046  ;  14111  ;  16222  ;  16631  ;  20460  ;  22425
1985  ;  6836  ;  9412  ;  11747  ;  14993  ;  17553  ;  17660  ;  23918  ;  23518
1986  ;  6789  ;  9671  ;  12301  ;  15640  ;  18629  ;  18738  ;  25893  ;  28792
1987  ;  6968  ;  9901  ;  12620  ;  15966  ;  19264  ;  19228  ;  29488  ;  29356
1988  ;  6659  ;  10111  ;  12960  ;  16346  ;  19912  ;  19957  ;  27764  ;  29340
1989  ;  7336  ;  10573  ;  13582  ;  16928  ;  20716  ;  20630  ;  30859  ;  28756
1990  ;  7646  ;  11110  ;  14316  ;  17679  ;  21589  ;  21700  ;  30980  ;  30323
1991  ;  7851  ;  11495  ;  14852  ;  18185  ;  22167  ;  22472  ;  30741  ;  31477
1992  ;  7478  ;  11631  ;  15142  ;  18567  ;  22404  ;  23224  ;  30171  ;  35086
1993  ;  8124  ;  11782  ;  15297  ;  18657  ;  22367  ;  23522  ;  32282  ;  28340
1994  ;  8121  ;  11463  ;  15246  ;  18796  ;  22423  ;  23972  ;  32114  ;  26365
1995  ;  8397  ;  11893  ;  15523  ;  19187  ;  22807  ;  25058  ;  34399  ;  29764
1996  ;  8204  ;  12025  ;  15635  ;  19463  ;  23038  ;  25826  ;  37543  ;  24745
1997  ;  8181  ;  12284  ;  15876  ;  19858  ;  23310  ;  26358  ;  37819  ;  25244
1998  ;  8476  ;  12538  ;  16181  ;  20234  ;  23550  ;  26922  ;  38934  ;  25130
1999  ;  8448  ;  12876  ;  16652  ;  20692  ;  23876  ;  27398  ;  40136  ;  25674
2000  ;  8778  ;  13438  ;  17318  ;  21245  ;  24288  ;  27794  ;  40849  ;  25870
2001  ;  10169  ;  14332  ;  18048  ;  21730  ;  24701  ;  28264  ;  40713  ;  nd
2002  ;  9708  ;  14408  ;  18351  ;  22097  ;  25164  ;  28609  ;  41900  ;  nd
2003  ;  nd  ;  14607  ;  18631  ;  22474  ;  25570  ;  28906  ;  41857  ;  nd
2004  ;  nd  ;  14846  ;  18875  ;  22905  ;  26131  ;  29655  ;  43855  ;  nd
2005  ;  9848  ;  15284  ;  19289  ;  23475  ;  26834  ;  30296  ;  45341  ;  nd
2006  ;  10080  ;  15535  ;  19539  ;  23877  ;  27359  ;  30804  ;  46162  ;  nd
2007  ;  10727  ;  16113  ;  20161  ;  24702  ;  28356  ;  31597  ;  48498  ;  nd
2008  ;  10621  ;  16626  ;  20898  ;  25583  ;  29311  ;  32443  ;  48632  ;  nd
2009  ;  10876  ;  17051  ;  21259  ;  25843  ;  29521  ;  32438  ;  46989  ;  nd
2010  ;  10680  ;  16946  ;  21454  ;  26223  ;  30091  ;  32858  ;  47560  ;  nd
2011  ;  10926  ;  17265  ;  21793  ;  26734  ;  30899  ;  33514  ;  47571  ;  nd
2012  ;  11058  ;  17460  ;  21964  ;  26864  ;  31232  ;  33777  ;  48244  ;  nd
